Ticker,Date/Time,Open,High,Low,Close
NIFTYMIDCAP100,7/11/2016,14211.5,14298.55,14211.5,14270.4
NIFTYMIDCAP100,7/12/2016,14318.1,14350.45,14256,14345.9
NIFTYMIDCAP100,7/13/2016,14391.85,14432.9,14238.3,14258.8
NIFTYMIDCAP100,7/14/2016,14286.85,14347.9,14266.2,14338.8
NIFTYMIDCAP100,7/15/2016,14392.9,14425.65,14269.4,14282.2
NIFTYMIDCAP100,7/18/2016,14322.85,14363.75,14183.25,14195.7
NIFTYMIDCAP100,7/19/2016,14219.7,14240.85,14127,14213.55
NIFTYMIDCAP100,7/20/2016,14231.3,14379.45,14231.3,14369.6
NIFTYMIDCAP100,7/21/2016,14412.05,14455.65,14290.2,14298.3
NIFTYMIDCAP100,7/22/2016,14331,14452.7,14298.85,14435.3
NIFTYMIDCAP100,7/25/2016,14474,14568.75,14462.25,14565.25
NIFTYMIDCAP100,7/26/2016,14593.05,14692.55,14525.1,14553.5
NIFTYMIDCAP100,7/27/2016,14600.9,14636.55,14475.55,14590
NIFTYMIDCAP100,7/28/2016,14622.85,14741.4,14622.85,14695.3
NIFTYMIDCAP100,7/29/2016,14730.7,14839.55,14708.95,14772.75
NIFTYMIDCAP100,8/1/2016,14856.95,14974.95,14745.8,14891.35
NIFTYMIDCAP100,8/2/2016,14913.25,14976,14752.25,14766.5
NIFTYMIDCAP100,8/3/2016,14792.4,14792.4,14491.9,14519.7
NIFTYMIDCAP100,8/4/2016,14638.6,14659.55,14490.5,14594.65
NIFTYMIDCAP100,8/5/2016,14678.4,14838.8,14678.4,14827.3
NIFTYMIDCAP100,8/8/2016,14887.2,14941.7,14829.8,14917.55
NIFTYMIDCAP100,8/9/2016,14956.45,14956.45,14808.6,14887.15
NIFTYMIDCAP100,8/10/2016,14908.75,14937.1,14691.1,14714.25
NIFTYMIDCAP100,8/11/2016,14724.25,14771.9,14585.75,14743.4
NIFTYMIDCAP100,8/12/2016,14761.9,14863.15,14761.9,14814.75
NIFTYMIDCAP100,8/16/2016,14838.3,14892.3,14782.65,14881.55
NIFTYMIDCAP100,8/17/2016,14907.7,14992.45,14888.95,14983.9
NIFTYMIDCAP100,8/18/2016,15020.5,15107.05,15020.5,15098.3
NIFTYMIDCAP100,8/19/2016,15136.65,15239,15130.1,15188.15
NIFTYMIDCAP100,8/22/2016,15202.65,15230.4,15065.5,15086
NIFTYMIDCAP100,8/23/2016,15103.75,15129.75,14990.4,15058.15
NIFTYMIDCAP100,8/24/2016,15083.25,15175.75,15081.75,15161.45
NIFTYMIDCAP100,8/25/2016,15196.75,15227.55,15077.45,15098.4
NIFTYMIDCAP100,8/26/2016,15140.4,15188.5,15058.6,15132.9
NIFTYMIDCAP100,8/29/2016,15166.9,15193.2,15040.25,15186.9
NIFTYMIDCAP100,8/30/2016,15249.95,15340.85,15249.95,15328.25
NIFTYMIDCAP100,8/31/2016,15373.95,15452.4,15348.45,15370.85
NIFTYMIDCAP100,9/1/2016,15384.45,15419.15,15258.05,15297.45
NIFTYMIDCAP100,9/2/2016,15339.35,15398.6,15318.65,15385.3
NIFTYMIDCAP100,9/6/2016,15452.15,15606.95,15451.9,15599.4
NIFTYMIDCAP100,9/7/2016,15649.1,15670.45,15545.1,15627.75
NIFTYMIDCAP100,9/8/2016,15663.7,15751.7,15624.8,15745.7
NIFTYMIDCAP100,9/9/2016,15767.65,15781.15,15590.9,15614.8
NIFTYMIDCAP100,9/12/2016,15365.9,15365.9,15107.1,15135.25
NIFTYMIDCAP100,9/14/2016,15164.8,15331.3,15147.85,15320.05
NIFTYMIDCAP100,9/15/2016,15352.1,15397.9,15277.5,15340.9
NIFTYMIDCAP100,9/16/2016,15436.45,15553.75,15274.85,15336.3
NIFTYMIDCAP100,9/19/2016,15388.1,15458.6,15355.7,15441.35
NIFTYMIDCAP100,9/20/2016,15457.4,15485.95,15394.65,15411.65
NIFTYMIDCAP100,9/21/2016,15447.4,15502.55,15389.5,15408.05
NIFTYMIDCAP100,9/22/2016,15559.7,15647.5,15503.45,15638.85
NIFTYMIDCAP100,9/23/2016,15691.4,15770.05,15653.25,15672.9
NIFTYMIDCAP100,9/26/2016,15665.15,15691.7,15550.3,15579.6
NIFTYMIDCAP100,9/27/2016,15636.95,15681.8,15526.95,15560.55
NIFTYMIDCAP100,9/28/2016,15597.4,15718.45,15561.7,15694.1
NIFTYMIDCAP100,9/29/2016,15785.4,15817.9,15020.85,15098.1
NIFTYMIDCAP100,9/30/2016,15082.4,15437.5,15058.45,15413.1
