Ticker,Date,Close
NIFTY,2020-03-05,11269
BANKNIFTY,2020-03-06,27801.45
MIDCPNIFTY,2020-03-06,4091.49
NIFTY,2020-03-06,10989.45
BANKNIFTY,2020-03-09,26462.6
MIDCPNIFTY,2020-03-09,3874.18
NIFTY,2020-03-09,10451.45
BANKNIFTY,2020-03-11,26487.8
MIDCPNIFTY,2020-03-11,3848.55
NIFTY,2020-03-11,10458.4
BANKNIFTY,2020-03-12,23971.15
MIDCPNIFTY,2020-03-12,3548.49
NIFTY,2020-03-12,9590.15
BANKNIFTY,2020-03-13,25166.45
MIDCPNIFTY,2020-03-13,3679.7
NIFTY,2020-03-13,9955.2
BANKNIFTY,2020-03-16,23101.15
MIDCPNIFTY,2020-03-16,3437.06
NIFTY,2020-03-16,9197.4
BANKNIFTY,2020-03-17,22155.15
MIDCPNIFTY,2020-03-17,3344.86
NIFTY,2020-03-17,8967.05
BANKNIFTY,2020-03-18,20580.2
MIDCPNIFTY,2020-03-18,3161.68
NIFTY,2020-03-18,8468.8
BANKNIFTY,2020-03-19,20083.5
MIDCPNIFTY,2020-03-19,3029.62
NIFTY,2020-03-19,8263.45
BANKNIFTY,2020-03-20,20317.6
MIDCPNIFTY,2020-03-20,3179.39
NIFTY,2020-03-20,8745.45
BANKNIFTY,2020-03-23,16917.65
MIDCPNIFTY,2020-03-23,2696.73
NIFTY,2020-03-23,7610.25
BANKNIFTY,2020-03-24,17107.3
MIDCPNIFTY,2020-03-24,2749.22
NIFTY,2020-03-24,7801.05
BANKNIFTY,2020-03-25,18481.05
MIDCPNIFTY,2020-03-25,2867.18
NIFTY,2020-03-25,8317.85
BANKNIFTY,2020-03-26,19613.9
MIDCPNIFTY,2020-03-26,2966.51
NIFTY,2020-03-26,8641.45
BANKNIFTY,2020-03-27,19969
MIDCPNIFTY,2020-03-27,2948.12
NIFTY,2020-03-27,8660.25
BANKNIFTY,2020-03-30,18782.4
MIDCPNIFTY,2020-03-30,2854.18
NIFTY,2020-03-30,8281.1
BANKNIFTY,2020-03-31,19144
MIDCPNIFTY,2020-03-31,2912.2
NIFTY,2020-03-31,8597.75
BANKNIFTY,2020-04-01,18208.35
MIDCPNIFTY,2020-04-01,2836.83
NIFTY,2020-04-01,8253.8
BANKNIFTY,2020-04-03,17249.3
MIDCPNIFTY,2020-04-03,2758.27
NIFTY,2020-04-03,8083.8
BANKNIFTY,2020-04-07,19062.5
MIDCPNIFTY,2020-04-07,2903.69
NIFTY,2020-04-07,8792.2
BANKNIFTY,2020-04-08,18946.45
MIDCPNIFTY,2020-04-08,2975.93
NIFTY,2020-04-08,8748.75
BANKNIFTY,2020-04-09,19913.6
